Pulse number,Conductance (W11),Moving averaged conductance (W11),Conductance (W12),Moving averaged conductance (W12),
713,9.78E-05,8.70E-05,4.35E-05,4.20E-05,
714,8.99E-05,8.79E-05,4.26E-05,4.21E-05,
715,8.84E-05,8.81E-05,4.37E-05,4.20E-05,
716,8.90E-05,8.87E-05,4.15E-05,4.18E-05,
717,8.70E-05,8.93E-05,4.07E-05,4.19E-05,
718,8.40E-05,8.89E-05,4.12E-05,4.18E-05,
719,9.12E-05,8.90E-05,4.25E-05,4.16E-05,
720,8.68E-05,8.91E-05,4.06E-05,4.13E-05,
721,9.11E-05,8.94E-05,4.11E-05,4.16E-05,
722,8.80E-05,8.95E-05,4.13E-05,4.16E-05,
723,9.32E-05,9.04E-05,4.26E-05,4.18E-05,
724,9.07E-05,8.99E-05,4.08E-05,4.16E-05,
725,9.03E-05,8.99E-05,4.08E-05,4.16E-05,
726,9.14E-05,8.97E-05,4.39E-05,4.16E-05,
727,8.84E-05,8.97E-05,4.15E-05,4.17E-05,
728,9.29E-05,8.94E-05,4.32E-05,4.15E-05,
729,8.58E-05,8.90E-05,3.98E-05,4.15E-05,
730,8.76E-05,8.89E-05,4.14E-05,4.19E-05,
731,8.85E-05,8.84E-05,4.11E-05,4.15E-05,
732,8.84E-05,8.82E-05,4.15E-05,4.15E-05,
733,8.96E-05,8.75E-05,4.14E-05,4.13E-05,
734,8.75E-05,8.75E-05,4.08E-05,4.14E-05,
735,8.93E-05,8.70E-05,4.41E-05,4.15E-05,
736,8.57E-05,8.67E-05,4.01E-05,4.16E-05,
737,8.65E-05,8.67E-05,4.20E-05,4.16E-05,
738,8.59E-05,8.60E-05,4.04E-05,4.16E-05,
739,8.62E-05,8.57E-05,4.11E-05,4.15E-05,
740,8.21E-05,8.55E-05,4.22E-05,4.12E-05,
741,8.61E-05,8.61E-05,4.25E-05,4.14E-05,
742,8.80E-05,8.70E-05,4.17E-05,4.15E-05,
743,8.30E-05,8.72E-05,4.08E-05,4.16E-05,
744,8.45E-05,8.77E-05,4.05E-05,4.15E-05,
745,8.67E-05,8.85E-05,4.12E-05,4.14E-05,
746,9.21E-05,8.90E-05,4.14E-05,4.13E-05,
747,9.52E-05,9.01E-05,4.34E-05,4.16E-05,
748,8.77E-05,9.04E-05,4.11E-05,4.16E-05,
749,9.22E-05,9.12E-05,4.00E-05,4.17E-05,
750,8.96E-05,9.19E-05,4.14E-05,4.18E-05,
751,9.13E-05,9.20E-05,4.13E-05,4.20E-05,
752,9.84E-05,9.09E-05,4.47E-05,4.18E-05,
753,8.68E-05,9.06E-05,4.08E-05,4.18E-05,
754,9.20E-05,8.97E-05,4.15E-05,4.19E-05,
755,9.42E-05,8.87E-05,4.26E-05,4.19E-05,
756,9.22E-05,8.83E-05,4.38E-05,4.21E-05,
757,8.44E-05,8.71E-05,4.07E-05,4.17E-05,
758,8.48E-05,8.64E-05,4.14E-05,4.17E-05,
759,8.32E-05,8.58E-05,4.12E-05,4.16E-05,
760,7.97E-05,8.50E-05,4.16E-05,4.17E-05,
761,8.76E-05,8.46E-05,4.28E-05,4.15E-05,
762,8.62E-05,8.50E-05,4.11E-05,4.16E-05,
763,7.92E-05,8.48E-05,4.02E-05,4.15E-05,
764,8.64E-05,8.52E-05,4.12E-05,4.17E-05,
765,8.65E-05,8.63E-05,4.33E-05,4.19E-05,
766,8.77E-05,8.61E-05,4.15E-05,4.17E-05,
767,8.84E-05,8.60E-05,4.17E-05,4.17E-05,
768,8.34E-05,8.64E-05,4.01E-05,4.19E-05,
769,8.65E-05,8.61E-05,4.40E-05,4.18E-05,
770,9.09E-05,8.62E-05,4.32E-05,4.16E-05,
771,8.59E-05,8.58E-05,4.10E-05,4.17E-05,
772,8.46E-05,8.54E-05,4.11E-05,4.15E-05,
773,8.39E-05,8.61E-05,4.17E-05,4.18E-05,
774,8.35E-05,8.58E-05,4.08E-05,4.14E-05,
775,8.66E-05,8.46E-05,4.11E-05,4.12E-05,
776,8.46E-05,8.43E-05,4.19E-05,4.12E-05,
777,8.40E-05,8.42E-05,4.02E-05,4.12E-05,
778,9.00E-05,8.40E-05,4.29E-05,4.11E-05,
779,8.38E-05,8.41E-05,4.03E-05,4.12E-05,
780,7.88E-05,8.40E-05,4.07E-05,4.16E-05,
781,8.29E-05,8.42E-05,4.15E-05,4.17E-05,
782,8.42E-05,8.38E-05,4.10E-05,4.20E-05,
783,8.15E-05,8.31E-05,4.05E-05,4.18E-05,
784,8.48E-05,8.25E-05,4.15E-05,4.18E-05,
785,8.54E-05,8.31E-05,4.57E-05,4.19E-05,
786,8.65E-05,8.28E-05,4.25E-05,4.17E-05,
787,8.03E-05,8.25E-05,4.31E-05,4.17E-05,
788,8.26E-05,8.30E-05,4.14E-05,4.18E-05,
789,7.77E-05,8.26E-05,4.06E-05,4.17E-05,
790,8.47E-05,8.23E-05,4.08E-05,4.14E-05,
791,8.03E-05,8.16E-05,4.00E-05,4.12E-05,
792,8.06E-05,8.20E-05,4.12E-05,4.14E-05,
793,8.74E-05,8.29E-05,4.09E-05,4.17E-05,
794,8.08E-05,8.28E-05,4.03E-05,4.18E-05,
795,8.20E-05,8.26E-05,4.32E-05,4.19E-05,
796,7.92E-05,8.29E-05,4.01E-05,4.21E-05,
797,8.48E-05,8.32E-05,4.49E-05,4.22E-05,
798,9.13E-05,8.25E-05,4.45E-05,4.24E-05,
799,7.69E-05,,4.15E-05,,
