Pulse number,Conductance,Moving averaged conductance,,
216,9.42E-05,8.95E-05,,
217,8.44E-05,8.86E-05,,
218,8.45E-05,8.90E-05,,
219,9.15E-05,8.83E-05,,
220,8.21E-05,8.81E-05,,
221,8.44E-05,8.77E-05,,
222,8.51E-05,8.71E-05,,
223,8.51E-05,8.58E-05,,
224,8.10E-05,8.50E-05,,
225,7.76E-05,8.37E-05,,
226,8.14E-05,8.33E-05,,
227,8.05E-05,8.31E-05,,
228,8.27E-05,8.20E-05,,
229,8.00E-05,8.19E-05,,
230,8.08E-05,8.20E-05,,
231,8.59E-05,8.14E-05,,
232,7.87E-05,8.12E-05,,
233,8.32E-05,8.08E-05,,
234,7.68E-05,8.09E-05,,
235,7.85E-05,7.99E-05,,
236,7.20E-05,7.94E-05,,
237,7.50E-05,7.84E-05,,
238,7.34E-05,7.78E-05,,
239,7.40E-05,7.69E-05,,
240,7.16E-05,7.56E-05,,
241,7.27E-05,7.51E-05,,
242,7.35E-05,7.42E-05,,
243,7.44E-05,7.37E-05,,
244,7.22E-05,7.31E-05,,
245,7.22E-05,7.35E-05,,
246,7.64E-05,7.35E-05,,
247,7.49E-05,7.36E-05,,
248,7.41E-05,7.39E-05,,
249,7.68E-05,7.40E-05,,
250,7.24E-05,7.43E-05,,
251,7.63E-05,7.44E-05,,
252,7.47E-05,7.51E-05,,
253,8.08E-05,7.56E-05,,
254,7.70E-05,7.55E-05,,
255,7.20E-05,7.51E-05,,
256,7.16E-05,7.44E-05,,
257,6.79E-05,7.39E-05,,
258,6.90E-05,7.31E-05,,
259,6.89E-05,7.36E-05,,
260,7.81E-05,7.36E-05,,
261,7.60E-05,7.32E-05,,
262,7.06E-05,7.25E-05,,
263,7.44E-05,7.25E-05,,
264,7.70E-05,7.29E-05,,
265,7.53E-05,7.39E-05,,
266,8.14E-05,7.50E-05,,
267,7.96E-05,7.63E-05,,
268,8.18E-05,7.72E-05,,
269,7.74E-05,7.66E-05,,
270,7.26E-05,7.67E-05,,
271,7.74E-05,7.73E-05,,
272,7.60E-05,7.76E-05,,
273,7.76E-05,7.72E-05,,
274,7.31E-05,7.78E-05,,
275,8.10E-05,7.71E-05,,
276,7.49E-05,7.66E-05,,
277,7.43E-05,7.61E-05,,
278,7.62E-05,7.57E-05,,
279,7.35E-05,7.60E-05,,
280,7.54E-05,7.52E-05,,
281,7.03E-05,7.47E-05,,
282,7.07E-05,7.43E-05,,
283,7.31E-05,7.42E-05,,
284,7.22E-05,7.39E-05,,
285,7.84E-05,7.37E-05,,
286,7.25E-05,7.32E-05,,
287,6.92E-05,7.33E-05,,
288,7.77E-05,7.33E-05,,
289,7.39E-05,7.27E-05,,
290,6.90E-05,7.27E-05,,
291,7.04E-05,7.28E-05,,
292,7.19E-05,7.30E-05,,
293,7.49E-05,7.27E-05,,
294,6.89E-05,7.17E-05,,
295,6.83E-05,7.14E-05,,
296,7.03E-05,7.16E-05,,
297,7.10E-05,7.11E-05,,
298,7.20E-05,7.11E-05,,
299,7.43E-05,7.17E-05,,
300,7.52E-05,7.24E-05,,
301,7.70E-05,7.27E-05,,
302,7.55E-05,7.29E-05,,
303,7.65E-05,7.35E-05,,
304,7.53E-05,7.43E-05,,
305,7.59E-05,7.45E-05,,
306,7.18E-05,7.47E-05,,
307,7.39E-05,7.45E-05,,
308,6.96E-05,7.41E-05,,
309,7.06E-05,7.44E-05,,
310,7.76E-05,7.47E-05,,
311,7.99E-05,7.42E-05,,
312,7.05E-05,7.37E-05,,
313,7.21E-05,7.32E-05,,
314,7.05E-05,7.27E-05,,
315,7.05E-05,7.28E-05,,
316,7.26E-05,7.25E-05,,
317,7.17E-05,7.33E-05,,
318,7.72E-05,7.36E-05,,
319,7.37E-05,7.31E-05,,
320,7.25E-05,7.24E-05,,
321,7.24E-05,7.31E-05,,
322,7.80E-05,7.28E-05,,
323,6.94E-05,7.31E-05,,
324,7.26E-05,7.32E-05,,
325,7.23E-05,7.31E-05,,
326,7.09E-05,7.29E-05,,
327,7.04E-05,7.22E-05,,
328,7.02E-05,7.20E-05,,
329,7.17E-05,7.25E-05,,
330,7.70E-05,7.19E-05,,
331,6.62E-05,7.14E-05,,
332,7.36E-05,7.15E-05,,
333,7.00E-05,7.18E-05,,
334,7.58E-05,7.14E-05,,
335,6.79E-05,7.11E-05,,
336,6.79E-05,7.07E-05,,
337,6.66E-05,7.05E-05,,
338,6.85E-05,7.04E-05,,
339,7.04E-05,6.96E-05,,
340,6.95E-05,7.03E-05,,
341,7.30E-05,7.00E-05,,
342,7.00E-05,7.01E-05,,
343,7.18E-05,6.96E-05,,
344,7.03E-05,6.98E-05,,
345,6.97E-05,7.08E-05,,
346,7.80E-05,7.12E-05,,
347,7.04E-05,7.12E-05,,
348,6.93E-05,7.13E-05,,
349,7.10E-05,7.20E-05,,
350,7.64E-05,7.18E-05,,
351,7.05E-05,7.19E-05,,
352,7.17E-05,7.17E-05,,
353,6.99E-05,7.16E-05,,
354,6.91E-05,7.16E-05,,
355,6.93E-05,7.10E-05,,
356,7.26E-05,7.11E-05,,
357,7.15E-05,7.09E-05,,
358,6.70E-05,7.11E-05,,
359,7.26E-05,7.07E-05,,
360,7.26E-05,7.07E-05,,
361,7.02E-05,7.06E-05,,
362,7.09E-05,7.12E-05,,
363,7.61E-05,7.14E-05,,
364,7.10E-05,7.21E-05,,
365,7.64E-05,7.20E-05,,
366,7.15E-05,7.26E-05,,
367,7.81E-05,7.33E-05,,
368,7.36E-05,7.29E-05,,
369,6.83E-05,7.31E-05,,
370,7.54E-05,7.35E-05,,
371,7.40E-05,7.36E-05,,
372,7.15E-05,7.38E-05,,
373,7.84E-05,7.42E-05,,
374,7.48E-05,7.38E-05,,
375,7.20E-05,7.41E-05,,
376,7.44E-05,7.42E-05,,
377,7.91E-05,7.49E-05,,
378,8.15E-05,7.56E-05,,
379,7.51E-05,7.55E-05,,
380,7.42E-05,7.57E-05,,
381,7.57E-05,7.59E-05,,
382,7.39E-05,7.52E-05,,
383,7.10E-05,7.48E-05,,
384,7.08E-05,7.44E-05,,
385,6.86E-05,7.41E-05,,
386,7.09E-05,7.41E-05,,
387,7.92E-05,7.32E-05,,
388,7.28E-05,7.35E-05,,
389,7.78E-05,7.32E-05,,
390,7.08E-05,7.33E-05,,
391,7.74E-05,7.30E-05,,
392,7.10E-05,7.39E-05,,
393,8.01E-05,7.41E-05,,
394,7.24E-05,7.47E-05,,
395,7.42E-05,7.43E-05,,
396,6.74E-05,7.42E-05,,
397,7.82E-05,7.41E-05,,
398,7.21E-05,7.36E-05,,
399,7.21E-05,7.51E-05,,
400,8.62E-05,7.60E-05,,
401,8.62E-05,7.76E-05,,
402,8.71E-05,7.87E-05,,
403,9.14E-05,8.06E-05,,
404,9.11E-05,8.24E-05,,
405,9.25E-05,8.46E-05,,
406,8.94E-05,8.57E-05,,
407,8.90E-05,8.75E-05,,
408,8.98E-05,8.99E-05,,
409,9.65E-05,9.02E-05,,
410,8.92E-05,9.08E-05,,
411,9.20E-05,9.12E-05,,
412,9.07E-05,9.16E-05,,
413,9.61E-05,9.14E-05,,
414,8.93E-05,9.15E-05,,
415,9.28E-05,9.12E-05,,
416,8.71E-05,9.17E-05,,
417,9.32E-05,9.20E-05,,
418,9.26E-05,9.17E-05,,
419,9.41E-05,9.24E-05,,
420,9.63E-05,9.21E-05,,
421,8.86E-05,9.26E-05,,
422,9.54E-05,9.21E-05,,
423,9.20E-05,9.20E-05,,
424,8.76E-05,9.27E-05,,
425,9.99E-05,9.33E-05,,
426,9.32E-05,9.26E-05,,
427,8.65E-05,9.25E-05,,
428,9.18E-05,9.26E-05,,
429,9.46E-05,9.18E-05,,
430,8.87E-05,9.21E-05,,
431,9.13E-05,9.14E-05,,
432,8.86E-05,9.12E-05,,
433,8.97E-05,9.13E-05,,
434,8.90E-05,9.03E-05,,
435,8.97E-05,9.01E-05,,
436,9.14E-05,9.07E-05,,
437,9.24E-05,9.04E-05,,
438,8.88E-05,8.98E-05,,
439,8.81E-05,8.98E-05,,
440,8.89E-05,9.02E-05,,
441,9.51E-05,9.03E-05,,
442,9.03E-05,9.03E-05,,
443,8.94E-05,9.09E-05,,
444,9.53E-05,9.08E-05,,
445,8.80E-05,9.10E-05,,
446,9.33E-05,9.13E-05,,
447,9.60E-05,9.12E-05,,
448,8.78E-05,9.15E-05,,
449,9.09E-05,9.14E-05,,
450,8.78E-05,9.10E-05,,
451,9.13E-05,9.17E-05,,
452,9.69E-05,9.17E-05,,
453,9.01E-05,9.10E-05,,
454,8.77E-05,9.18E-05,,
455,9.66E-05,9.17E-05,,
456,9.23E-05,9.18E-05,,
457,9.66E-05,9.27E-05,,
458,9.71E-05,9.25E-05,,
459,8.83E-05,9.34E-05,,
460,9.67E-05,9.38E-05,,
461,9.60E-05,9.30E-05,,
462,8.90E-05,9.32E-05,,
463,9.15E-05,9.34E-05,,
464,9.00E-05,9.23E-05,,
465,8.56E-05,9.27E-05,,
466,9.61E-05,9.19E-05,,
467,8.85E-05,9.15E-05,,
468,9.32E-05,9.22E-05,,
469,9.58E-05,9.25E-05,,
470,9.92E-05,9.19E-05,,
471,8.97E-05,9.21E-05,,
472,9.15E-05,9.19E-05,,
473,8.93E-05,9.17E-05,,
474,8.77E-05,9.29E-05,,
475,9.75E-05,9.21E-05,,
476,8.82E-05,9.23E-05,,
477,9.05E-05,9.23E-05,,
478,9.35E-05,9.17E-05,,
479,8.98E-05,9.17E-05,,
480,9.95E-05,9.21E-05,,
481,9.37E-05,9.25E-05,,
482,9.56E-05,9.27E-05,,
483,9.08E-05,9.27E-05,,
484,8.79E-05,9.19E-05,,
485,8.93E-05,9.21E-05,,
486,9.05E-05,9.21E-05,,
487,8.98E-05,9.19E-05,,
488,9.16E-05,9.17E-05,,
489,8.84E-05,9.10E-05,,
490,9.21E-05,9.04E-05,,
491,8.83E-05,9.06E-05,,
492,9.76E-05,9.09E-05,,
493,9.38E-05,9.11E-05,,
494,8.96E-05,9.17E-05,,
495,9.52E-05,9.18E-05,,
496,9.18E-05,9.22E-05,,
497,9.34E-05,9.22E-05,,
498,9.19E-05,9.24E-05,,
499,9.01E-05,9.24E-05,,
500,9.23E-05,9.32E-05,,
501,9.66E-05,9.25E-05,,
502,9.03E-05,9.20E-05,,
503,8.90E-05,9.22E-05,,
504,9.12E-05,9.25E-05,,
505,9.86E-05,9.21E-05,,
506,8.71E-05,9.21E-05,,
507,9.36E-05,9.18E-05,,
508,8.93E-05,9.20E-05,,
509,9.21E-05,9.25E-05,,
510,9.71E-05,9.23E-05,,
511,9.42E-05,9.23E-05,,
512,9.07E-05,9.23E-05,,
513,8.90E-05,9.19E-05,,
514,8.68E-05,9.17E-05,,
515,9.73E-05,9.20E-05,,
516,9.03E-05,9.23E-05,,
517,9.61E-05,9.22E-05,,
518,8.83E-05,9.24E-05,,
519,9.38E-05,9.27E-05,,
520,1.00E-04,9.21E-05,,
521,8.83E-05,9.21E-05,,
522,9.09E-05,9.24E-05,,
523,9.15E-05,9.27E-05,,
524,9.02E-05,9.30E-05,,
525,9.99E-05,9.37E-05,,
526,9.78E-05,9.36E-05,,
527,9.48E-05,9.43E-05,,
528,9.50E-05,9.48E-05,,
529,9.93E-05,9.35E-05,,
530,8.75E-05,9.38E-05,,
531,9.12E-05,9.36E-05,,
532,8.86E-05,9.41E-05,,
533,9.72E-05,9.41E-05,,
534,8.99E-05,9.35E-05,,
535,9.40E-05,9.27E-05,,
536,8.96E-05,9.26E-05,,
537,9.39E-05,9.25E-05,,
538,9.34E-05,9.23E-05,,
539,9.75E-05,9.31E-05,,
540,9.54E-05,9.35E-05,,
541,9.51E-05,9.44E-05,,
542,9.82E-05,9.41E-05,,
543,9.42E-05,9.42E-05,,
544,9.08E-05,9.43E-05,,
545,9.44E-05,9.45E-05,,
546,9.23E-05,9.54E-05,,
547,1.03E-04,9.51E-05,,
548,9.04E-05,9.54E-05,,
549,1.00E-04,9.51E-05,,
550,9.33E-05,9.56E-05,,
551,9.98E-05,9.54E-05,,
552,9.59E-05,9.53E-05,,
553,9.32E-05,9.56E-05,,
554,9.41E-05,9.59E-05,,
555,9.72E-05,9.59E-05,,
556,9.26E-05,9.57E-05,,
557,1.00E-04,9.57E-05,,
558,9.07E-05,9.57E-05,,
559,9.96E-05,9.59E-05,,
560,9.52E-05,9.53E-05,,
561,9.39E-05,9.47E-05,,
562,8.97E-05,9.47E-05,,
563,9.31E-05,9.53E-05,,
564,1.00E-04,9.55E-05,,
565,1.00E-04,9.58E-05,,
566,9.55E-05,9.59E-05,,
567,1.01E-04,9.63E-05,,
568,9.48E-05,9.59E-05,,
569,9.55E-05,9.56E-05,,
570,9.20E-05,9.54E-05,,
571,9.18E-05,9.55E-05,,
572,9.08E-05,9.62E-05,,
573,1.00E-04,9.56E-05,,
574,9.44E-05,9.60E-05,,
575,1.04E-04,9.63E-05,,
576,9.82E-05,9.56E-05,,
577,9.48E-05,9.53E-05,,
578,9.15E-05,9.54E-05,,
579,9.63E-05,9.56E-05,,
580,9.48E-05,9.60E-05,,
581,9.52E-05,9.63E-05,,
582,9.35E-05,9.59E-05,,
583,9.60E-05,9.54E-05,,
584,8.98E-05,9.43E-05,,
585,9.25E-05,9.36E-05,,
586,9.13E-05,9.36E-05,,
587,9.48E-05,9.38E-05,,
588,9.35E-05,9.41E-05,,
589,1.00E-04,9.46E-05,,
590,9.93E-05,9.46E-05,,
591,9.53E-05,9.51E-05,,
592,9.81E-05,9.60E-05,,
593,1.06E-04,9.64E-05,,
594,9.36E-05,9.74E-05,,
595,1.03E-04,9.77E-05,,
596,9.41E-05,9.83E-05,,
597,1.01E-04,9.81E-05,,
598,9.10E-05,9.77E-05,,
599,9.58E-05,9.72E-05,,
600,9.41E-05,9.70E-05,,
601,9.32E-05,9.64E-05,,
602,9.30E-05,9.61E-05,,
603,1.02E-04,9.59E-05,,
604,9.23E-05,9.50E-05,,
605,9.30E-05,9.54E-05,,
606,9.84E-05,9.51E-05,,
607,9.78E-05,9.53E-05,,
608,9.35E-05,9.49E-05,,
609,9.20E-05,9.50E-05,,
610,9.48E-05,9.48E-05,,
611,9.10E-05,9.54E-05,,
612,9.91E-05,9.47E-05,,
613,9.51E-05,9.54E-05,,
614,9.98E-05,9.58E-05,,
615,9.66E-05,9.56E-05,,
616,9.68E-05,9.54E-05,,
617,9.51E-05,9.58E-05,,
618,9.75E-05,9.57E-05,,
619,9.14E-05,9.57E-05,,
620,9.43E-05,9.61E-05,,
621,9.55E-05,9.55E-05,,
622,9.25E-05,9.56E-05,,
623,9.61E-05,9.58E-05,,
624,1.03E-04,9.59E-05,,
625,9.72E-05,9.55E-05,,
626,9.23E-05,9.52E-05,,
627,9.29E-05,9.46E-05,,
628,9.09E-05,9.47E-05,,
629,9.22E-05,9.50E-05,,
630,9.80E-05,9.52E-05,,
631,9.70E-05,9.54E-05,,
632,9.45E-05,9.55E-05,,
633,9.78E-05,9.51E-05,,
634,9.85E-05,9.46E-05,,
635,9.17E-05,9.43E-05,,
636,8.97E-05,9.40E-05,,
637,8.98E-05,9.39E-05,,
638,8.96E-05,9.41E-05,,
639,9.39E-05,9.31E-05,,
640,8.84E-05,9.34E-05,,
641,9.98E-05,9.28E-05,,
642,8.86E-05,9.25E-05,,
643,9.49E-05,9.17E-05,,
644,9.08E-05,9.26E-05,,
645,1.00E-04,9.30E-05,,
646,9.39E-05,9.33E-05,,
647,9.31E-05,9.40E-05,,
648,9.66E-05,9.39E-05,,
649,9.23E-05,9.43E-05,,
650,9.26E-05,9.36E-05,,
651,9.34E-05,9.40E-05,,
652,9.19E-05,9.36E-05,,
653,9.16E-05,9.38E-05,,
654,9.24E-05,9.30E-05,,
655,9.20E-05,9.30E-05,,
656,9.40E-05,9.25E-05,,
657,8.84E-05,9.18E-05,,
658,8.94E-05,9.23E-05,,
659,9.72E-05,9.20E-05,,
660,8.97E-05,9.26E-05,,
661,9.92E-05,9.26E-05,,
662,9.24E-05,9.33E-05,,
