Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
2,284,-0.24481,0.45519,0.0091,0.66501
2,285,0.08495,0.78495,0.0157,0.68071
2,286,0.1307,0.8307,1.66E-02,0.69732
2,287,0.1307,0.8307,0.01661,0.71394
2,288,-0.07904,0.62096,0.01242,0.72636
2,289,-0.07904,0.62096,0.01242,0.73878
2,290,-0.07904,0.62096,0.01242,0.7512
2,291,-0.12508,0.57492,0.0115,0.76269
2,292,-0.12508,0.57492,0.0115,0.77419
2,293,-0.12508,0.57492,0.0115,0.78569
2,294,-0.12508,0.57492,0.0115,0.79719
2,295,-0.35686,0.34314,0.00686,0.80405
2,296,-0.35686,0.34314,0.00686,0.81092
2,297,-0.35686,0.34314,0.00686,0.81778
2,298,-0.35686,0.34314,0.00686,0.82464
2,299,-0.35686,0.34314,0.00686,0.8315
3,300,-0.41956,0.28044,0.00561,0.83711
3,301,-0.55087,0.14913,0.00298,0.8401
3,302,-0.55087,0.14913,0.00298,0.84308
3,303,-0.71694,-0.01694,-3.39E-04,0.84274
3,304,-0.73109,-0.03109,-6.22E-04,0.84212
3,305,-0.78097,-0.08097,-0.00162,0.8405
3,306,-0.81221,-0.11221,-0.00224,0.83825
3,307,-0.55374,0.14626,0.00293,0.84118
3,308,-0.47606,0.22394,0.00448,0.84566
3,309,-0.47606,0.22394,0.00448,0.85014
3,310,-0.40225,0.29775,0.00595,0.85609
3,311,-0.40225,0.29775,0.00595,0.86205
3,312,-0.5606,0.1394,0.00279,0.86483
3,313,-0.5606,0.1394,0.00279,0.86762
3,314,-0.60344,0.09656,0.00193,0.86955
3,315,-0.60344,0.09656,0.00193,0.87149
3,316,-0.76257,-0.06257,-0.00125,0.87023
3,317,-0.84248,-0.14248,-0.00285,0.86738
3,318,-0.50071,0.19929,0.00399,0.87137
3,319,-0.57192,0.12808,0.00256,0.87393
3,320,-0.57192,0.12808,0.00256,0.87649
3,321,-0.65133,0.04867,9.73E-04,0.87747
3,322,-0.68532,0.01468,2.94E-04,0.87776
3,323,-0.68532,0.01468,2.94E-04,0.87805
3,324,-0.74369,-0.04369,-8.74E-04,0.87718
3,325,-0.65651,0.04349,8.70E-04,0.87805
3,326,-0.57368,0.12632,0.00253,0.88058
3,327,-0.65276,0.04724,9.45E-04,0.88152
3,328,-0.65276,0.04724,9.45E-04,0.88247
3,329,-0.57013,0.12987,0.0026,0.88506
3,330,-0.34619,0.35381,0.00708,0.89214
3,331,-0.21493,0.48507,0.0097,0.90184
3,332,-0.15419,0.54581,0.01092,0.91276
3,333,-0.15419,0.54581,0.01092,0.92367
3,334,-0.04165,0.65835,0.01317,0.93684
3,335,-0.04165,0.65835,0.01317,0.95001
3,336,-0.04165,0.65835,0.01317,0.96317
3,337,0.01043,0.71043,0.01421,0.97738
3,338,-0.177,0.523,0.01046,0.98784
3,339,-0.177,0.523,0.01046,0.9983
3,340,-0.11815,0.58185,0.01164,0
3,341,-0.31764,0.38236,0.00765,0.00765
3,342,-0.31764,0.38236,0.00765,0.01529
3,343,-0.31764,0.38236,0.00765,0.02294
3,344,-0.31764,0.38236,0.00765,0.03059
3,345,-0.31764,0.38236,0.00765,0.03824
3,346,-0.31764,0.38236,0.00765,0.04588
3,347,-0.25176,0.44824,0.00896,0.05485
3,348,-0.32471,0.37529,0.00751,0.06235
3,349,-0.47748,0.22252,0.00445,0.0668
3,350,-0.52842,0.17158,0.00343,0.07024
3,351,-0.52842,0.17158,0.00343,0.07367
3,352,-0.70279,-0.00279,-5.58E-05,0.07361
3,353,-0.25171,0.44829,0.00897,0.08258
3,354,-0.28912,0.41088,0.00822,0.0908
3,355,-0.28912,0.41088,0.00822,0.09901
3,356,-0.28912,0.41088,0.00822,0.10723
3,357,-0.44993,0.25007,0.005,0.11223
3,358,-0.12193,0.57807,0.01156,0.12379
3,359,-0.20754,0.49246,0.00985,0.13364
3,360,-0.20754,0.49246,0.00985,0.14349
3,361,-0.24717,0.45283,0.00906,0.15255
3,362,-0.24717,0.45283,0.00906,0.1616
3,363,-0.38681,0.31319,0.00626,0.16787
3,364,-0.31747,0.38253,0.00765,0.17552
3,365,-0.38402,0.31598,0.00632,0.18184
3,366,-0.38402,0.31598,0.00632,0.18816
3,367,-0.38402,0.31598,0.00632,0.19448
3,368,-0.41482,0.28518,0.0057,0.20018
3,369,-0.41482,0.28518,0.0057,0.20589
3,370,-0.47187,0.22813,0.00456,0.21045
3,371,-0.47187,0.22813,0.00456,0.21501
3,372,-0.56984,0.13016,0.0026,0.21761
3,373,-0.56984,0.13016,0.0026,0.22022
3,374,-0.66715,0.03285,6.57E-04,0.22087
3,375,-0.5046,0.1954,0.00391,0.22478
3,376,-0.5046,0.1954,0.00391,0.22869
3,377,-0.5046,0.1954,0.00391,0.2326
3,378,-0.3579,0.3421,0.00684,0.23944
3,379,-0.44948,0.25052,0.00501,0.24445
3,380,-0.50316,0.19684,0.00394,0.24839
3,381,-0.528,0.172,0.00344,0.25183
3,382,-0.12322,0.57678,0.01154,0.26336
3,383,-0.12322,0.57678,0.01154,0.2749
3,384,-0.12322,0.57678,0.01154,0.28643
3,385,0.08513,0.78513,0.0157,0.30214
3,386,0.08513,0.78513,0.0157,0.31784
3,387,0.13087,0.83087,0.01662,0.33446
3,388,-0.12495,0.57505,0.0115,0.34596
3,389,-0.12495,0.57505,0.0115,0.35746
3,390,-0.1687,0.5313,0.01063,0.36808
3,391,-0.1687,0.5313,0.01063,0.37871
3,392,-0.11027,0.58973,0.01179,0.3905
3,393,-0.19702,0.50298,0.01006,0.40056
3,394,-0.19702,0.50298,0.01006,0.41062
3,395,-0.31154,0.38846,0.00777,0.41839
3,396,-0.31154,0.38846,0.00777,0.42616
3,397,-0.34597,0.35403,0.00708,0.43324
3,398,-0.34597,0.35403,0.00708,0.44032
3,399,-0.34597,0.35403,0.00708,0.4474
4,400,-0.37867,0.32133,0.00643,0.45383
