Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
1,169,-0.15166,0.54834,0.01097,-0.35523
1,170,-0.15166,0.54834,0.01097,-0.34427
1,171,-0.15166,0.54834,0.01097,-0.3333
1,172,-0.30903,0.39097,7.82E-03,-0.32548
1,173,-0.3764,0.3236,6.47E-03,-0.31901
1,174,-0.54159,0.15841,0.00317,-0.31584
1,175,-0.13321,0.56679,0.01134,-0.3045
1,176,-0.13321,0.56679,0.01134,-0.29317
1,177,-0.13321,0.56679,0.01134,-0.28183
1,178,-0.13321,0.56679,0.01134,-0.2705
1,179,-0.25684,0.44316,-0.00886,-0.26163
1,180,-0.1343,0.5657,-0.01131,-0.27295
1,181,0.02748,0.72748,-1.46E-02,-0.2875
1,182,-0.16311,0.53689,-0.01074,-0.29823
1,183,-0.04971,0.65029,-0.01301,-0.31124
1,184,-0.04971,0.65029,-0.01301,-0.32425
1,185,-0.22598,0.47402,-0.00948,-0.33373
1,186,-0.22598,0.47402,-9.48E-03,-0.34321
1,187,-0.30145,0.39855,-0.00797,-0.35118
1,188,0.17976,0.87976,-0.0176,-0.36877
1,189,0.12078,0.82078,-0.01642,-0.38519
1,190,0.12078,0.82078,-0.01642,-0.4016
1,191,0.12078,0.82078,-0.01642,-0.41802
1,192,0.12078,0.82078,-0.01642,-0.43444
1,193,0.16474,0.86474,-0.01729,-0.45173
1,194,0.16474,0.86474,-0.01729,-0.46903
1,195,0.31967,1.01967,-0.02039,-0.48942
1,196,0.31967,1.01967,-0.02039,-0.50981
1,197,0.4167,1.1167,-0.02233,-0.53215
1,198,0.4167,1.1167,-0.02233,-0.55448
1,199,0.34587,1.04587,0.02092,-0.5754
2,200,0.27858,0.97858,0.01957,-0.55583
2,201,-0.06013,0.63987,0.0128,-0.54303
2,202,-0.06013,0.63987,0.0128,-0.53023
2,203,-0.40765,0.29235,0.00585,-0.52438
2,204,-0.43726,0.26274,0.00525,-0.51913
2,205,-0.49213,0.20787,4.16E-03,-0.51497
2,206,-0.67992,0.02008,4.02E-04,-0.51457
2,207,-0.44032,0.25968,5.19E-03,-0.50938
2,208,-0.3683,0.3317,6.63E-03,-0.50274
2,209,-0.17315,0.52685,0.01054,-0.49221
2,210,-0.11449,0.58551,0.01171,-0.4805
2,211,-0.11449,0.58551,0.01171,-0.46879
2,212,-0.27875,0.42125,0.00843,-0.46036
2,213,-0.27875,0.42125,0.00843,-0.45194
2,214,-0.34907,0.35093,0.00702,-0.44492
2,215,-0.38162,0.31838,0.00637,-0.43855
2,216,-0.62975,0.07025,1.40E-03,-0.43714
2,217,-0.74144,-0.04144,-8.29E-04,-0.43797
2,218,-0.28012,0.41988,0.0084,-0.42958
2,219,-0.31611,0.38389,-0.00768,-0.4219
2,220,-0.18779,0.51221,-0.01024,-0.43214
2,221,0.08091,0.78091,-0.01562,-0.44776
2,222,0.08091,0.78091,-0.01562,-0.46338
2,223,0.08091,0.78091,-0.01562,-0.479
2,224,0.28882,0.98882,-1.98E-02,-0.49877
2,225,0.28882,0.98882,-1.98E-02,-0.51855
2,226,0.16316,0.86316,-1.73E-02,-0.53581
2,227,0.35247,1.05247,-2.11E-02,-0.55686
2,228,0.41561,1.11561,-2.23E-02,-0.57917
2,229,0.34483,1.04483,-0.0209,-0.60007
2,230,0.21371,0.91371,-0.01827,-0.61834
2,231,0.09537,0.79537,-0.01591,-0.63425
2,232,-0.06086,0.63914,-0.01278,-0.64703
2,233,-0.06086,0.63914,-0.01278,-0.65982
2,234,-0.1948,0.5052,-0.0101,-0.66992
2,235,-0.1948,0.5052,-0.0101,-0.68003
2,236,-0.1948,0.5052,-0.0101,-0.69013
2,237,-0.30964,0.39036,-0.00781,-0.69794
2,238,-0.06671,0.63329,-0.01267,-0.7106
2,239,-0.06671,0.63329,0.01267,-0.72327
2,240,0.03729,0.73729,0.01475,-0.70852
2,241,-0.06384,0.63616,0.01272,-0.6958
2,242,-0.15512,0.54488,0.0109,-0.6849
2,243,-0.15512,0.54488,0.0109,-0.674
2,244,-0.15512,0.54488,0.0109,-0.66311
2,245,-0.15512,0.54488,0.0109,-0.65221
2,246,-0.19736,0.50264,0.01005,-0.64216
2,247,-0.02659,0.67341,0.01347,-0.62869
2,248,-0.02659,0.67341,0.01347,-0.61522
2,249,-0.32023,0.37977,0.0076,-0.60762
2,250,-0.41718,0.28282,0.00566,-0.60197
2,251,-0.47401,0.22599,0.00452,-0.59745
2,252,-0.65105,0.04895,9.79E-04,-0.59647
2,253,-0.21367,0.48633,0.00973,-0.58674
