Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
0,76,0.45282,0.62719,-0.01254,-0.52377
0,77,0.38018,0.55455,-0.01109,-0.53486
0,78,0.38018,0.55455,-0.01109,-0.54595
0,79,0.46858,0.03968,7.94E-04,-0.55881
0,80,0.19617,-0.23273,-0.00465,-0.56346
0,81,0.13636,-0.29254,-0.00585,-0.56932
0,82,0.29656,-0.13234,-0.00265,-0.57196
0,83,0.29656,-0.13234,-0.00265,-0.57461
0,84,0.33173,-0.09717,-0.00194,-0.57655
0,85,0.53332,0.10442,0.00209,-0.57446
0,86,0.53332,0.10442,0.00209,-0.57238
0,87,0.59988,0.17098,3.42E-03,-0.56896
0,88,0.17606,-0.25284,-0.00506,-0.57401
0,89,0.17606,-0.25284,-0.00506,-0.57907
0,90,0.11726,-0.31165,-0.00623,-0.5853
0,91,0.0614,-0.36751,-0.00735,-0.59265
0,92,0.0614,-0.36751,-0.00735,-0.6
0,93,0.00833,-0.42058,-0.00841,-0.60842
0,94,-0.04209,-0.471,-0.00942,-0.61784
0,95,-0.33106,-0.75996,-0.0152,-0.63303
0,96,-0.33106,-0.75996,-0.0152,-0.64823
0,97,-0.33106,-0.75996,-0.0152,-0.66343
0,98,-0.33106,-0.75996,-0.0152,-0.67863
0,99,-0.33106,-0.01049,2.10E-04,-0.69383
1,100,-0.2645,0.05607,-0.00112,-0.69495
1,101,0.07047,0.39104,-0.00782,-0.70277
1,102,0.07047,0.39104,-0.00782,-0.71059
1,103,0.38333,0.7039,-0.01408,-0.72467
1,104,0.38333,0.7039,-0.01408,-0.73875
1,105,0.47129,0.79185,-1.58E-02,-0.75459
1,106,0.61135,0.93192,-1.86E-02,-0.77323
1,107,0.53078,0.85135,-0.01703,-0.79025
1,108,0.53078,0.85135,-0.01703,-0.80728
1,109,0.38153,0.7021,-0.01404,-0.82132
1,110,0.24683,0.5674,-0.01135,-0.83267
1,111,0.24683,0.5674,-0.01135,-0.84402
1,112,0.35425,0.67482,-0.0135,-0.85751
1,113,0.35425,0.67482,-0.0135,-0.87101
1,114,0.44635,0.76692,-0.01534,-0.88635
1,115,0.44635,0.76692,-0.01534,-0.90169
