Epoch,# of updates,Normalized WA,Effective WA,Pulse direction
2,281,0.03101,0.03101,1
2,282,0.03299,0.03299,1
2,283,0.03547,0.03547,1
2,284,-0.0438,-0.0438,1
2,285,-0.01754,-0.01754,1
2,286,0.01664,0.01664,1
2,287,0.03101,0.03101,1
2,288,0.00624,0.00624,1
2,289,-0.00466,-0.00466,1
2,290,0.12316,0.12316,1
2,291,0.09096,0.09096,1
2,292,0.10681,0.10681,1
2,293,-0.03339,-0.03339,1
2,294,-0.00763,-0.00763,1
2,295,-0.5194,-0.5194,-1
2,296,-0.59916,-0.59916,-1
2,297,-0.59272,-0.59272,-1
2,298,-0.54219,-0.54219,-1
2,299,-0.20639,0.20639,-1
3,300,-0.20986,0.20986,-1
3,301,-0.29507,0.29507,-1
3,302,-0.26485,0.26485,-1
3,303,-0.25989,0.25989,-1
3,304,-0.20441,0.20441,-1
3,305,-0.30795,0.30795,-1
3,306,-0.28615,0.28615,-1
3,307,-0.2054,0.2054,-1
3,308,-0.31142,0.31142,-1
3,309,-0.23116,0.23116,-1
3,310,-0.25989,0.25989,-1
3,311,-0.31588,0.31588,-1
3,312,-0.29408,0.29408,-1
3,313,-0.24553,0.24553,-1
3,314,-0.20936,0.20936,-1
3,315,-0.19945,0.19945,-1
3,316,0.25732,-0.25732,1
3,317,0.26228,-0.26228,1
3,318,0.29795,-0.29795,1
3,319,0.53565,0.53565,1
3,320,0.51287,0.51287,1
3,321,0.41775,0.41775,1
3,322,0.46976,0.46976,1
3,323,0.47521,0.47521,1
3,324,0.58321,0.58321,1
3,325,0.59461,0.59461,1
3,326,-0.07965,-0.07965,-1
3,327,-0.02169,-0.02169,-1
3,328,-0.10542,-0.10542,-1
3,329,0.02438,0.02438,-1
3,330,0.50642,0.50642,1
3,331,0.66991,0.66991,1
3,332,0.54259,0.54259,1
3,333,0.60799,0.60799,1
3,334,0.59461,0.59461,1
3,335,0.56092,0.56092,1
3,336,0.53367,0.53367,1
3,337,0.52376,0.52376,1
